product_id,sku,product_name,description,category_id,brand_id,supplier_id,price,cost,weight_kg,is_active,created_at,updated_at
62,SKU-000062,Mini Herramienta 62,Descripción detallada del producto 62,7,4,4,52.94,29.65,10.3,true,2022-06-15,2025-03-18
63,SKU-000063,Elite Widget 63,Descripción detallada del producto 63,9,11,2,217.29,119.51,46.4,true,2023-05-04,2025-05-12
64,SKU-000064,Max Gadget 64,Descripción detallada del producto 64,6,13,8,401.13,224.63,13.1,true,2023-06-16,2025-02-13
65,SKU-000065,Super Widget 65,Descripción detallada del producto 65,3,10,5,486.34,262.62,14.5,true,2022-03-22,2024-03-03
66,SKU-000066,Pro Pack 66,Descripción detallada del producto 66,7,3,1,473.34,189.34,30.4,false,2023-11-29,2025-01-24
67,SKU-000067,Mega Dispositivo 67,Descripción detallada del producto 67,5,1,3,140.6,71.71,41.2,true,2022-05-04,2024-02-01
68,SKU-000068,Premium Widget 68,Descripción detallada del producto 68,2,11,1,469.88,187.95,18.7,true,2023-12-01,2024-10-15
69,SKU-000069,Mini Pack 69,Descripción detallada del producto 69,10,15,3,174.39,90.68,31.5,true,2022-04-21,2025-11-07
70,SKU-000070,Smart Pack 70,Descripción detallada del producto 70,10,7,6,282.32,169.39,44.4,true,2023-05-09,2025-11-01
71,SKU-000071,Básico Artículo 71,Descripción detallada del producto 71,6,12,6,389.49,260.96,9.9,true,2022-09-19,2024-03-11
72,SKU-000072,Mega Pack 72,Descripción detallada del producto 72,10,11,7,146.46,70.3,34,true,2022-12-20,2025-10-08
73,SKU-000073,Mega Artículo 73,Descripción detallada del producto 73,4,1,2,378.55,264.99,14.1,true,2023-06-06,2025-03-17
74,SKU-000074,Mega Artículo 74,Descripción detallada del producto 74,7,8,8,21.74,15,13.5,true,2022-11-26,2025-03-08
75,SKU-000075,Mini Equipo 75,Descripción detallada del producto 75,10,12,1,486.4,248.06,4.2,true,2023-09-18,2024-12-27
76,SKU-000076,Elite Pack 76,Descripción detallada del producto 76,9,6,4,77.57,39.56,45.1,false,2022-10-12,2025-09-11
77,SKU-000077,Ultra Pack 77,Descripción detallada del producto 77,5,14,3,162.47,79.61,6.3,true,2023-08-26,2025-02-07
78,SKU-000078,Básico Artículo 78,Descripción detallada del producto 78,5,2,3,175.34,99.94,0.3,true,2023-06-28,2025-05-26
79,SKU-000079,Mega Pack 79,Descripción detallada del producto 79,5,14,6,54.32,21.73,48.2,true,2022-03-08,2024-07-09
80,SKU-000080,Mega Widget 80,Descripción detallada del producto 80,4,14,3,31.06,21.43,18.9,true,2023-12-13,2024-06-05
81,SKU-000081,Smart Equipo 81,Descripción detallada del producto 81,6,1,1,102.8,52.43,40.3,true,2022-11-18,2024-03-01
82,SKU-000082,Premium Gadget 82,Descripción detallada del producto 82,9,8,4,475.41,294.75,35.4,true,2022-07-12,2024-12-28
83,SKU-000083,Max Equipo 83,Descripción detallada del producto 83,7,5,6,72.33,45.57,17.4,true,2023-07-17,2025-08-25
84,SKU-000084,Super Equipo 84,Descripción detallada del producto 84,5,7,3,22.22,11.78,18.1,true,2022-01-31,2025-05-22
85,SKU-000085,Super Gadget 85,Descripción detallada del producto 85,4,3,7,281.37,171.64,20.6,true,2023-10-09,2024-09-14
86,SKU-000086,Básico Gadget 86,Descripción detallada del producto 86,7,4,7,250.09,147.55,33.3,true,2022-03-09,2025-05-06
87,SKU-000087,Ultra Producto 87,Descripción detallada del producto 87,6,3,8,274.89,167.68,35.4,false,2022-08-11,2024-11-16
88,SKU-000088,Smart Equipo 88,Descripción detallada del producto 88,4,7,5,277.97,194.58,45.3,true,2022-11-15,2025-03-30
89,SKU-000089,Super Dispositivo 89,Descripción detallada del producto 89,7,12,2,299.25,179.55,21.2,true,2023-06-08,2024-04-02
90,SKU-000090,Básico Equipo 90,Descripción detallada del producto 90,9,10,8,304.78,146.29,6.2,true,2023-07-26,2025-02-13
91,SKU-000091,Premium Producto 91,Descripción detallada del producto 91,1,11,2,174.05,95.73,49.2,true,2023-02-28,2024-12-13
92,SKU-000092,Mega Widget 92,Descripción detallada del producto 92,2,14,2,168.99,70.98,26.6,true,2023-01-01,2024-04-20
93,SKU-000093,Premium Equipo 93,Descripción detallada del producto 93,3,2,4,498.68,259.31,41.9,true,2022-01-08,2024-06-18
94,SKU-000094,Pro Set 94,Descripción detallada del producto 94,2,15,5,138.13,62.16,18,true,2023-02-17,2024-07-18
95,SKU-000095,Max Herramienta 95,Descripción detallada del producto 95,9,6,5,268.12,179.64,8.8,true,2023-05-07,2024-06-13
96,SKU-000096,Premium Producto 96,Descripción detallada del producto 96,10,1,6,369.38,210.55,47.9,true,2023-08-24,2024-08-10
97,SKU-000097,Pro Widget 97,Descripción detallada del producto 97,9,11,2,153.02,102.52,3.1,true,2022-03-30,2024-02-10
98,SKU-000098,Ultra Gadget 98,Descripción detallada del producto 98,4,4,2,290.36,124.85,15.6,true,2022-12-17,2025-11-26
99,SKU-000099,Mini Gadget 99,Descripción detallada del producto 99,7,12,4,292.11,160.66,3.9,true,2023-01-24,2024-12-16
100,SKU-000100,Premium Gadget 100,Descripción detallada del producto 100,10,7,4,282.33,141.17,48.6,true,2023-09-02,2024-03-26
